itemId,title,genres,embedding
1500,Grosse Pointe Blank (1997),Comedy|Crime|Romance,"0.193543,0.228883,0.208875,0.148162,0.182996,0.715649,60.631,0.0408333,0.00668713,2.0,16.0,0.05,0.5,0.619753,17.0,1.08962,0.668299,4.31627,5.24814,4.2234,7.53853,6.3225,6.65642,17.2341,8.0,0.176601,0.121075,49.0,123.0,0.682312,0.0,0.0,0.0219014,0.0220658,0.00902858,6.30769,5.96742,5.918,0.0989331,0.00932595,-0.00096093,0.0161499,0.00844643,0.012097,-0.12975,-0.0815939,-0.061746,0.127542,0.0500596,-0.282176,0.187588,0.284119,0.212594,0.205231,0.182317,0.185431,35.0,0.653732,0.196732,0.059288,0.0161591,0.00538635,22.0,22.0,22.0,22.0,22.0,0.161306,0.2437,0.16888,0.214157,0.142907,0.242914,0.251817,0.215929,0.219704,0.258444,0.164845,0.193861,0.17752,0.139388,0.160041,0.410493,0.497614,0.4498,3.14056,3.12612,0.50269,0.489141,0.473148,0.50175,0.513988,0.457125,0.159301,0.073098,0.0219262,0.0,-1.29629e-07,1.2278e-07,0.161049,0.343034,0.259465,0.849243,0.0,0.249923,0.232693,0.146879"
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,"0.224949,0.463646,0.233621,0.347426,0.181904,0.660763,56.2916,0.079096,0.0143467,2.0,15.0,0.05,0.5,0.602402,17.0,0.943187,0.531966,3.12052,4.82262,2.68578,7.72718,4.40629,4.89735,14.8686,8.0,0.180419,0.132651,56.0,148.0,0.647278,0.0,0.0,0.027771,0.0301361,0.0120212,6.67383,6.48203,6.34823,0.0859066,0.00117319,-0.0133131,-0.0191495,-0.0332013,-0.0378093,0.0210403,0.0312282,0.029549,0.0677899,-0.0843863,0.0870351,0.222882,0.495146,0.272835,0.235627,0.367041,0.213427,55.0,0.57309,0.253113,0.0557861,0.017807,0.00932312,22.0,22.0,22.0,31.0,31.0,0.153222,0.315147,0.276671,0.278578,0.192522,0.466445,0.470053,0.540256,0.329818,0.358014,0.192246,0.298919,0.278302,0.322889,0.306606,0.405628,0.702127,0.543182,2.95036,2.95036,0.492265,0.498095,0.57075,0.498594,0.494458,0.48074,0.14734,0.075366,0.0198034,0.00187074,0.000369413,2.68485e-05,0.157135,0.309397,0.372075,0.870621,0.0,0.231589,0.0627583,0.177321"
84152,Limitless (2011),Sci-Fi|Thriller,"0.191553,0.469978,0.31403,0.419764,0.260099,0.513123,53.574,0.109524,0.00472869,2.0,14.0,0.05,0.5,0.513016,17.0,1.08225,0.772642,2.98871,4.6576,3.72807,5.18945,4.42497,5.88475,11.5789,8.0,0.253511,0.110842,79.0,203.0,0.666275,0.0,0.0,0.0305379,0.0314229,0.012685,7.04054,6.81047,6.54482,0.0477806,0.0,0.0,-0.00857159,-0.000743918,0.0,0.0123369,0.0109164,0.0113128,0.033605,0.0,0.0410315,0.161377,0.471796,0.323918,0.160246,0.441931,0.252702,54.0,0.60144,0.227097,0.0575867,0.0162506,0.00942993,22.0,22.0,22.0,22.0,22.0,0.149572,0.211393,0.192108,0.166667,0.153182,0.440957,0.521553,0.515628,0.544587,0.537646,0.375013,0.244431,0.200636,0.239749,0.23926,0.86936,0.537406,0.424167,1.90653,1.90653,0.501833,0.511519,0.507115,0.501936,0.507385,0.508125,0.148117,0.0680699,0.0201874,0.000132696,-1.92946e-06,2.04106e-07,0.192245,0.18768,0.45935,1.26988,0.0,0.147944,0.230181,0.281342"
3717,Gone in 60 Seconds (2000),Action|Crime,"0.166872,0.388967,0.236962,0.282995,0.173421,0.65186,56.3133,0.103492,0.00198791,2.0,16.0,0.05,0.5,0.62494,17.0,0.987928,0.709158,3.42824,3.99045,4.14881,6.95955,5.12718,6.35247,14.6969,8.0,0.171977,0.112074,60.5,161.5,0.680305,0.0,0.0,0.0252431,0.0205928,0.00801433,6.5054,6.34254,6.08283,0.053535,-0.00227336,-0.000351746,-0.0457971,-0.020579,-0.00332122,0.0259207,0.0196874,0.0176205,0.0418975,-0.0750957,0.0479458,0.131321,0.332162,0.300001,0.133385,0.279665,0.215179,33.0,0.630722,0.264984,0.0318375,0.00785065,0.00382233,22.0,22.0,22.0,22.0,22.0,0.157099,0.147084,0.137827,0.127825,0.115051,0.369272,0.38737,0.403131,0.351701,0.389895,0.177673,0.31845,0.316583,0.270787,0.285271,0.437048,0.757336,0.741714,1.57827,1.57827,0.501907,0.502512,0.50306,0.501867,0.518086,0.392292,0.156373,0.0702965,0.0113384,-1.66128e-05,-9.91513e-06,0.0,0.394897,0.166502,0.30138,1.01265,0.0,0.232946,0.169454,0.259725"
3238,Eye of the Beholder (1999),Thriller,"0.373067,0.193866,0.195098,0.120707,0.178896,0.665301,60.206,0.0789474,0.000611402,1.0,17.0,0.0,0.5,0.781971,17.0,1.60973,0.906293,4.62597,4.96921,3.82324,11.2253,5.96261,6.27701,23.8795,8.0,0.178218,0.145853,47.0,106.0,0.698044,0.0,0.0,0.025233,0.0181611,0.00757963,6.32205,6.24215,6.33169,0.158405,0.0311822,0.00411214,-0.015097,-0.0107797,-0.0178049,0.0164509,0.0136042,0.0172693,0.187371,-0.0331081,0.0459609,0.406832,0.171818,0.213454,0.401548,0.105209,0.193183,42.0,0.553406,0.264877,0.0683289,0.0232086,0.00985718,22.0,22.0,22.0,22.0,23.0,0.372839,0.347892,0.312519,0.352776,0.373255,0.197836,0.186024,0.165753,0.160305,0.173496,0.190015,0.173628,0.166888,0.201044,0.170247,0.501974,0.478393,0.461762,3.13769,3.13769,0.50944,0.47696,0.499808,0.496877,0.501219,0.566787,0.131663,0.0805081,0.0274632,-0.000450516,-6.10806e-05,-8.83136e-06,0.198868,0.315955,0.191074,0.654061,0.0,0.116899,0.134276,0.220135"
5419,Scooby-Doo (2002),Adventure|Children|Comedy|Fantasy|Mystery,"0.323666,0.41294,0.267094,0.299894,0.212868,0.584519,52.0911,0.166667,0.0226913,5.0,10.0,0.325,0.5,0.402263,12.0,4.38808,3.19792,9.14084,9.77594,9.23444,17.1701,10.1716,14.7724,32.9528,7.0,0.212181,0.153651,63.0,167.0,0.711876,0.0,0.0,0.0336812,0.032122,0.0124425,7.0033,6.90112,6.74774,0.0596285,0.00752836,0.0205833,-0.021508,-0.00624155,-0.00667469,0.00733802,-0.00383248,0.00305558,0.0905323,-0.0404679,0.00651596,0.244715,0.412281,0.34146,0.259279,0.284944,0.263747,85.5,0.537941,0.22892,0.107605,0.0247116,0.0130386,22.0,23.0,23.0,21.5,22.0,0.269958,0.373519,0.376883,0.369792,0.329996,0.408076,0.439539,0.449462,0.44655,0.408609,0.328206,0.23641,0.233307,0.215589,0.219014,0.793046,0.536472,0.478076,3.26998,3.26998,0.47989,0.539248,0.542678,0.50669,0.50033,0.576431,0.138173,0.0701746,0.0348721,0.00129836,-0.00016509,-7.04345e-06,0.059845,0.338471,0.357837,0.800816,0.0,0.162088,0.170464,0.211503"
5313,The Scorpion King (2002),Action|Adventure|Fantasy|Thriller,"0.154611,0.314445,0.348122,0.332805,0.292497,0.537193,52.2092,0.0833333,0.00831713,2.0,16.0,0.05,0.5,0.72752,18.0,0.396678,0.556887,1.51288,2.47384,2.64863,3.52459,2.8624,3.61305,9.32461,8.0,0.277131,0.218362,72.0,176.0,0.682617,0.0,0.0,0.0280253,0.0192303,0.00784104,6.90823,6.45768,6.20654,0.0753291,0.00615707,0.000456319,-0.0129075,-0.0026616,-0.0028368,0.0113957,0.0,-1.07318e-06,0.084648,-0.0288315,0.0014383,0.141369,0.365228,0.39859,0.146869,0.34683,0.293394,29.0,0.623901,0.226318,0.0346985,0.00840759,0.00511169,22.0,22.0,22.0,22.0,22.0,0.0961767,0.201175,0.194707,0.118385,0.102011,0.285401,0.328344,0.3269,0.353177,0.291029,0.349375,0.379431,0.362745,0.365611,0.348226,0.754898,0.928272,0.893816,2.46851,2.3283,0.501952,0.476069,0.496448,0.501554,0.503805,0.504111,0.148508,0.0708061,0.0119654,-2.94558e-08,2.39161e-07,0.0,0.502792,0.246252,0.259291,0.99,0.0,0.153405,0.20627,0.541504"
87413,Bernie (1996),Comedy|Drama,"0.221932,0.458787,0.295368,0.341879,0.224999,0.598479,53.2961,0.0833333,0.00694424,2.0,16.0,0.05,0.5,0.73372,17.0,0.6835,0.995657,1.47655,2.41169,4.17236,3.0206,3.41761,5.32078,8.37389,9.0,0.224317,0.149312,65.0,172.0,0.744019,0.0,0.0,0.0362752,0.041984,0.0164884,7.12239,6.81824,6.36727,0.071979,0.0141077,0.00938416,-0.0136958,-0.0131099,-0.00782324,0.0104561,0.0113839,-0.00764216,0.0944235,-0.0281255,0.0097654,0.249059,0.44301,0.293536,0.255964,0.304628,0.21695,91.0,0.538193,0.252121,0.0486145,0.0191956,0.00950623,22.0,22.0,22.0,22.0,22.0,0.161677,0.276339,0.140679,0.158927,0.149693,0.451998,0.464155,0.460993,0.522355,0.438578,0.357479,0.162923,0.248056,0.155323,0.174645,0.800584,0.338212,0.553377,3.52492,3.32215,0.500543,0.554432,0.462732,0.502401,0.502798,0.518451,0.153659,0.0853813,0.0231632,-0.000383178,4.15422e-09,-1.97486e-06,0.0643005,0.349754,0.313011,0.874741,0.0,0.121302,0.0795174,0.118825"
2640,Superman (1978),Action|Adventure|Sci-Fi,"0.445785,0.19064,0.305694,0.172389,0.253895,0.501421,54.9887,0.583333,0.018168,2.0,15.0,0.05,0.5,0.563118,17.0,2.22455,1.43882,4.41718,4.22786,2.6145,7.74852,2.6057,5.75874,14.0846,8.0,0.251537,0.0792289,80.0,219.0,0.600121,0.0,0.0,0.022199,0.0210142,0.00895178,6.0904,5.98005,6.06959,0.0792575,0.0,0.0,-0.00696792,-0.0284602,0.0,0.00969024,-0.00882238,-0.00728673,0.0747047,-0.0392918,-0.0242631,0.608119,0.188976,0.480435,0.611692,0.201377,0.394937,8.0,0.753273,0.125038,0.121094,0.000244141,7.62939e-05,22.0,12.0,32.0,22.0,22.0,0.516002,0.0816143,0.121914,0.499229,0.446929,0.161129,0.1379,0.287106,0.258606,0.265834,0.390506,0.0094823,0.00469133,0.138889,0.143584,1.00004,0.0215462,0.00619494,5.34299,4.19213,0.503017,0.0962774,0.888833,0.502157,0.501574,0.501953,0.130695,0.0846329,0.0845528,-5.85118e-06,2.9992e-06,0.0,0.963577,0.43207,0.25441,1.30281,0.0,0.000869301,0.0,0.563132"
237,Forget Paris (1995),Comedy|Romance,"0.323382,0.215535,0.403652,0.180339,0.349401,0.379311,48.0848,0.5,0.0229123,4.0,14.0,0.5,0.5,0.507308,15.0,4.14417,0.824729,11.9261,11.5261,2.00848,23.8493,9.00757,4.77215,37.7204,8.0,0.344646,0.287982,80.5,190.5,0.684708,0.0,0.0,0.0308965,0.0255119,0.00979203,7.28017,7.04188,6.8502,0.0834496,0.0105955,0.00604734,-0.00623741,-0.000919587,-0.00554769,0.0138489,0.00826386,0.0139633,0.106229,-0.0100536,0.0263641,0.277969,0.261641,0.431368,0.277842,0.198097,0.353145,63.0,0.637215,0.219299,0.0457764,0.016449,0.0101089,22.0,21.0,23.0,22.0,22.0,0.310651,0.331102,0.265504,0.23525,0.248992,0.20617,0.226637,0.188309,0.180956,0.201941,0.270816,0.531743,0.494424,0.467387,0.456619,0.696475,1.26582,1.30812,3.82652,3.82652,0.516097,0.428016,0.573215,0.507404,0.490001,0.42086,0.154497,0.0587931,0.0136441,-0.00160046,-2.48068e-05,-2.21997e-06,0.291267,0.411262,0.214068,1.02431,0.0,0.242346,0.045719,0.181409"
