itemId,title,genres,embedding
1500,Grosse Pointe Blank (1997),Comedy|Crime|Romance,"0.0275032632052898,-0.0111449956893921,-0.0104579217731953,0.0692684650421143,0.0399728193879128,0.0344896242022514,0.0217384472489357,-0.000760469934903,-0.0831355601549149,-0.0430632010102272,-0.0205875020474195,0.051060575991869,-0.008255829103291,-0.0470161326229572,-0.0324279852211475,0.0040930206887424,-0.0505182407796383,0.0269171353429556,-0.0557482577860355,0.0053723254241049,-0.0081219663843512,-0.0350314378738403,0.0166828520596027,0.0641592368483543,-0.0524153634905815,-0.0333573557436466,-0.010421484708786,-0.0492289811372757,-0.0974635183811188,-0.0500773712992668,-0.0558138117194176,0.0400418601930141,0.03902867436409,-0.0103550078347325,0.0148455258458853,-0.0316558443009853,-0.101573519408703,0.0032138871029019,-0.0842094421386719,0.0346375070512295"
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,"0.0368493013083935,-0.0605682469904423,0.0609350875020027,-0.023303659632802,-0.104605086147785,-0.0514268204569817,0.10174985229969,-0.0402102805674076,-0.0139021184295416,0.0390662401914597,0.0316534452140331,-0.0148413274437189,0.0077527901157736,0.0106812156736851,0.0613595247268677,0.0513626709580421,0.0372971408069134,0.0747738629579544,0.0145694622769952,-0.0153725827112794,-0.0329732373356819,-0.0963475406169891,-0.0715116262435913,0.154781684279442,-0.0322295427322388,-0.0980042368173599,-0.0384610071778297,0.0126709947362542,-0.0241781584918499,-0.0381790734827518,-0.0118001345545053,0.0498074591159821,-0.0118861207738519,-0.0311550106853247,0.0124246859923005,0.0133760692551732,0.0604832842946053,0.0428425408899784,-0.0050648278556764,0.0460761375725269"
84152,Limitless (2011),Sci-Fi|Thriller,"-0.027773879468441,-0.0301791448146105,-0.0748683139681816,0.0510638356208801,0.0402256026864052,0.0442143529653549,0.0141925001516938,7.02426332281902e-05,-0.0299475714564323,-0.122797921299934,0.0159241370856762,0.0692431181669235,0.104262217879295,-0.109775297343731,-0.0232569724321365,-0.026968551799655,-0.0929740071296692,-0.0356105007231236,0.0123920515179634,-0.0163755919784307,0.0013382215984165,-0.0833150073885918,0.004804742988199,0.0867942944169044,-0.0209720600396395,-0.0978618636727333,-0.0024846664164215,0.0100287599489093,-0.0700930431485176,0.081444077193737,-0.106191389262676,0.0879329517483711,0.0673274844884872,-0.0180094633251429,0.0060666208155453,0.0485815592110157,-0.0507676973938942,0.0108296275138855,-0.0868703499436378,-0.051228154450655"
3717,Gone in 60 Seconds (2000),Action|Crime,"-0.0261691473424435,0.126160055398941,-0.0551578514277935,0.0903308615088463,-0.0781432017683983,0.22523820400238,0.083155170083046,0.0395100340247154,-0.0157761536538601,0.111021459102631,-0.0168443433940411,0.0317752622067928,0.0543626174330711,0.127500101923943,0.0669270157814026,0.0087440265342593,0.1416085511446,0.118514083325863,0.136718273162842,-0.0223397985100746,-0.0584945231676102,-0.0138117428869009,-0.099500335752964,0.0554422847926617,0.0281476173549891,0.0102772628888488,-0.0631832629442215,-0.115271709859371,0.0179440043866634,0.0987088158726692,0.0664976462721825,0.115600280463696,0.0478852950036526,0.0720184892416,-0.100194118916988,0.035935427993536,0.0781413540244102,0.160779491066933,-0.0796300992369652,0.0192145127803087"
3238,Eye of the Beholder (1999),Thriller,"0.0396312661468983,0.117321975529194,-0.0425028614699841,-0.0621183402836323,-0.0072706788778305,0.017676604911685,-0.0375284180045128,0.0144752133637667,0.0786155238747597,0.0659292042255402,-0.0080885477364063,0.0018054069951176,0.0220523905009031,-0.0320939458906651,-0.0186303369700909,-0.0104459812864661,-0.0506359897553921,0.0416181050240993,-0.0023615525569766,-0.0215592831373215,-0.0173527281731367,-0.082526221871376,-0.0331189371645451,0.008087508380413,-0.0227057877928019,0.028881436213851,-0.0119898738339543,-0.0686295926570892,-0.0211402140557766,0.018146950751543,-0.0305231045931578,0.109559737145901,-0.048369076102972,-0.151980802416801,0.0029070165473967,0.088226281106472,-0.0692696273326874,-0.0369525998830795,-0.0730312615633011,-0.0112669290974736"
5419,Scooby-Doo (2002),Adventure|Children|Comedy|Fantasy|Mystery,"-0.0211745761334896,0.0370916165411472,0.0234963316470385,0.0031381652224808,-0.0820713490247726,-0.0011289016110822,0.0313209928572178,-0.0651489645242691,-0.0757797360420227,0.0120193669572473,0.0447651036083698,-0.0427373163402081,0.0263628996908665,-0.0037519813049584,-0.0892247408628464,0.135127827525139,0.056048471480608,0.105813585221767,-0.0244319420307875,-0.0061326730065047,-0.0902391895651817,-0.0113107487559319,0.0148469377309084,0.165634259581566,-0.14083294570446,0.0131464628502727,-0.0072633740492165,-0.021292807534337,-0.132915675640106,-0.0244572833180428,-0.081684984266758,0.0178638994693756,-0.0007747429190203,0.0981447100639343,-0.0829000324010849,-0.0314976647496223,0.0536342263221741,0.0226674377918243,-0.0194591879844666,0.0157148502767086"
5313,The Scorpion King (2002),Action|Adventure|Fantasy|Thriller,"0.0384146794676781,-0.0181724447757006,0.022570863366127,0.0068251364864409,-0.120418317615986,0.0669739693403244,-0.0201725531369448,-0.0536487177014351,0.115675136446953,-0.121972471475601,-0.0909780934453011,-0.0398474298417568,0.0579651296138763,0.12696635723114,-0.0382074490189552,-0.112988159060478,0.12728513777256,0.16900072991848,0.0318227633833885,-0.136975780129433,0.0678123384714127,0.0847651734948158,-0.084749273955822,-0.0646471008658409,-0.0596140697598457,-0.038924727588892,0.0185128897428513,-0.0259550586342812,-0.0989130437374115,0.0353487208485603,-0.124853104352951,0.156673491001129,-0.0464230477809906,0.0931118801236153,0.0047852741554379,-0.129507318139076,0.0969074368476868,-0.111763581633568,-0.0999986827373505,-0.163692608475685"
87413,Bernie (1996),Comedy|Drama,"-0.0423554554581642,-0.0672177895903587,-0.0264092553406954,0.0559330433607101,0.0330394692718983,-0.0251971296966076,0.0645492151379585,-0.0100329872220755,-0.0492667928338051,-0.0399939380586147,-0.0206708647310734,0.0599396750330925,-0.0155826639384031,-0.025896342471242,-0.069043755531311,0.0628727450966835,-0.0588844083249569,-0.041213933378458,-0.0371079295873642,0.0847743451595306,-0.0038842111825943,-0.0755545869469643,0.0463675521314144,0.0438975766301155,-0.0351983904838562,-0.0400375165045261,-0.0112327579408884,0.010106161236763,-0.0180642567574978,0.004552234429866,-0.0880184397101402,0.047476839274168,-0.0096571603789925,-0.0416637770831585,0.0514690391719341,0.0213768538087606,-0.0631359666585922,-0.0866697430610657,-0.0044577745720744,-0.0101931486278772"
2640,Superman (1978),Action|Adventure|Sci-Fi,"0.0811322256922722,-0.0267207212746143,-0.0366664789617062,-0.0063560754060745,0.074877068400383,0.0085089085623621,-0.0210912656039,-0.0381623357534409,0.119361884891987,-0.0218111388385296,0.0550505071878433,0.0093501079827547,0.0616898611187935,0.0289359074085951,0.0362304970622063,0.0569395907223225,-0.0731171295046806,-0.0191199034452438,-0.0814938247203827,-0.0482821464538574,0.0614219196140766,-0.0203125271946192,-0.228045538067818,0.0653839930891991,-0.0859025791287422,0.0519441366195679,0.0364406183362007,0.151166394352913,0.0639280378818512,-0.0396067537367344,0.0034532060381025,0.0734269544482231,0.102948367595673,0.0397785231471062,-0.0340009815990925,-0.0387910194694996,0.0134450159966946,0.0147240981459618,0.0871879309415817,0.0692473351955414"
237,Forget Paris (1995),Comedy|Romance,"-0.119958706200123,-0.109283052384853,-0.0499735064804554,0.0014880988746881,-0.0570448637008667,0.0030853853095322,-0.0254970863461494,-0.001661067828536,-0.035750400274992,-0.0232414286583662,-0.0194579679518938,0.0137247135862708,0.0222591515630484,0.0589164681732655,0.0813272297382355,0.0271192900836468,-0.0895772576332092,0.0275096390396357,-0.0296612549573183,-0.0017504007555544,-0.0008523976430296,-0.0690638050436974,0.0559483803808689,0.0252430476248264,0.0248094908893108,0.0112992031499743,-0.0314808376133442,-0.0684867799282074,-0.0975762009620667,-0.0548837929964066,-0.017363416031003,-0.0071527115069329,0.0079057170078158,-0.107799023389816,0.0201585460454226,0.0317839086055756,0.0812968015670776,0.0227296352386475,0.0054594189859926,0.118504218757153"
