itemId,title,genres,embedding
1500,Grosse Pointe Blank (1997),Comedy|Crime|Romance,"0.199546,0.237044,0.299383,0.165504,0.277514,0.683959,59.8283,0.181139,0.014596,2.01974,12.9145,0.108882,0.414474,0.565018,16.7632,1.81306,0.987063,5.42581,6.35952,4.94422,10.5092,6.47824,6.8721,20.2158,7.43421,0.274723,0.230647,53.5724,136.901,0.626527,0.0,0.0,0.0223653,0.022609,0.00936219,5.39568,5.16209,5.12169,0.0989246,0.0186607,0.00755917,0.017322,0.0150335,0.0392908,-0.137303,-0.0867457,-0.0590821,0.125144,0.0716463,-0.28313,0.222927,0.291125,0.316818,0.224756,0.198478,0.279562,45.8553,0.675966,0.192173,0.0684221,0.0245381,0.0109042,22.1447,22.3947,21.3421,21.6842,22.7105,0.185656,0.298568,0.251532,0.279242,0.232421,0.238125,0.265619,0.259776,0.272317,0.276513,0.285811,0.26841,0.262013,0.219005,0.228841,0.79017,0.708592,0.692511,3.3721,3.04478,0.498795,0.506309,0.486246,0.497178,0.517142,0.488392,0.151794,0.0656034,0.0312685,-0.000156927,-0.000106963,0.000574117,0.392467,0.299335,0.28145,1.10375,0.0,1.72183,0.563658,0.508735"
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,"0.24129,0.475699,0.251841,0.373799,0.192362,0.642918,55.9357,0.183849,0.0158589,2.97196,14.4486,0.216355,0.496729,0.600151,16.028,1.98218,0.942325,5.04078,5.79024,3.56862,11.112,4.55866,5.33024,19.8833,8.08411,0.187321,0.144084,58.729,159.785,0.620191,0.0,0.0,0.0297824,0.0300697,0.0118622,6.31674,6.11452,5.97525,0.0918832,-0.00225712,-0.0101041,-0.0198879,-0.0338387,-0.0379315,0.0240645,0.0368224,0.0312726,0.079522,-0.0916582,0.0921595,0.267969,0.52257,0.296439,0.270593,0.399129,0.210229,67.9626,0.612145,0.233625,0.076074,0.0240313,0.0135106,21.3645,21.8224,23.8037,26.0187,26.0374,0.212946,0.336859,0.299598,0.323004,0.293735,0.471654,0.517236,0.499972,0.385727,0.391612,0.238062,0.346621,0.293987,0.312479,0.306452,0.528895,0.760882,0.667187,3.22723,3.0355,0.492311,0.49123,0.559264,0.498976,0.491507,0.512724,0.145094,0.0680741,0.0276268,0.00183181,0.00186295,0.00024268,0.345306,0.297191,0.419072,0.852255,0.0,-0.30411,0.143057,-44.0746"
84152,Limitless (2011),Sci-Fi|Thriller,"0.23006,0.438874,0.32212,0.408251,0.260953,0.534027,55.2705,0.186812,0.0102255,2.86713,12.028,0.172378,0.414685,0.49073,16.2378,3.70457,1.25139,6.96153,7.63153,4.3576,10.5239,5.28894,7.03407,19.4301,7.29371,0.261539,0.163409,68.4406,175.552,0.591458,0.0,0.0,0.0301026,0.0302901,0.0120223,5.82022,5.62796,5.44545,0.0320059,-0.0154649,-0.014209,-0.00929825,-0.0143062,-0.00819918,0.0176875,0.00532947,0.0164055,0.00614637,-0.0318036,0.0394225,0.230403,0.453719,0.34989,0.227099,0.416658,0.27501,73.2657,0.644168,0.207884,0.0702282,0.0271812,0.0130848,21.6643,22.6643,23.5804,21.6573,22.5315,0.223043,0.253157,0.231377,0.240813,0.261327,0.410849,0.522212,0.497818,0.504612,0.502509,0.359077,0.319891,0.296508,0.28854,0.288861,0.881476,0.737748,0.718389,2.25935,2.19116,0.482496,0.511985,0.535501,0.49492,0.492805,0.521195,0.14515,0.0655667,0.0282939,0.0021822,-0.000123234,-0.000269396,0.409724,0.216625,0.462849,1.22945,0.0,0.247237,inf,0.356228"
3717,Gone in 60 Seconds (2000),Action|Crime,"0.224506,0.372117,0.246648,0.290978,0.2004,0.619069,56.5739,0.205014,0.00873926,2.52459,13.5328,0.134016,0.432377,0.568973,16.3115,3.18946,1.35502,5.94743,7.03851,4.84699,9.91208,5.11552,8.03488,19.9992,7.81967,0.200339,0.153163,60.7541,156.336,0.597883,0.0,0.0,0.0258588,0.0215488,0.0086825,5.85147,5.7208,5.42831,0.0351124,-0.0012478,-0.00143192,-0.0484137,-0.0198308,-0.00849371,0.036299,0.0189821,0.00864934,0.0324327,-0.0767382,0.0639304,0.226178,0.375113,0.322239,0.225525,0.299919,0.250127,38.8934,0.656021,0.238159,0.0606386,0.0162392,0.00832592,21.8443,22.9918,22.5,21.9344,22.3443,0.229735,0.220256,0.224109,0.202001,0.201594,0.36082,0.399588,0.38382,0.382434,0.40447,0.23849,0.346368,0.344858,0.311378,0.308142,0.584567,0.856872,0.867483,2.12864,2.06266,0.493364,0.523064,0.510834,0.497821,0.52197,0.464302,0.149378,0.0694408,0.0270196,0.00064656,-0.000763837,0.000183657,0.454314,0.210294,0.328608,1.03923,0.0,0.588436,0.43169,-0.104339"
3238,Eye of the Beholder (1999),Thriller,"0.377038,0.245077,0.210938,0.169841,0.189858,0.657101,60.306,0.254385,0.00722558,1.46617,14.1504,0.0887218,0.409774,0.662203,16.5714,3.33967,1.28963,7.17395,7.95666,4.22797,14.7809,6.39195,7.3739,27.3715,7.69925,0.187055,0.152594,48.2782,114.812,0.650837,0.0,0.0,0.0261537,0.0183942,0.00762358,6.04837,5.9894,6.1199,0.155311,0.0310445,-0.00555156,-0.0135511,-0.0106703,-0.01834,0.0274659,0.0252618,0.0221273,0.180803,-0.0425614,0.074855,0.419963,0.210724,0.243893,0.413331,0.141943,0.212195,48.4962,0.567458,0.258948,0.0907307,0.0299274,0.0144219,22.1128,20.7519,21.5038,22.1353,22.4436,0.39248,0.356307,0.37122,0.376847,0.380007,0.245064,0.230021,0.224918,0.223397,0.232314,0.216653,0.228924,0.206295,0.228267,0.218283,0.576948,0.605631,0.553204,3.34781,3.17747,0.512577,0.473405,0.493102,0.493158,0.501894,0.532482,0.136502,0.0802981,0.0359358,-0.000423405,-0.000605475,3.13416e-05,0.313727,0.309371,0.24578,0.698375,0.0,-0.174136,-0.0396355,-0.985353"
5419,Scooby-Doo (2002),Adventure|Children|Comedy|Fantasy|Mystery,"0.341021,0.421467,0.289156,0.31906,0.234335,0.549073,51.5015,0.305173,0.0273515,4.90816,10.602,0.297449,0.464796,0.458339,12.1531,6.63528,3.43485,11.8503,12.1873,9.14188,19.8303,9.74457,14.1792,35.6433,5.85714,0.232784,0.174207,64.3673,170.173,0.699881,0.0,0.0,0.0335243,0.0339646,0.0129124,6.87347,6.86777,6.76244,0.0673579,0.0180996,0.0231449,-0.0263586,-0.00616251,-0.00619354,0.0109724,-0.00286392,0.00204554,0.108602,-0.0387147,0.0101541,0.287206,0.417574,0.348775,0.29908,0.308437,0.268213,95.5,0.53983,0.23299,0.112268,0.0367922,0.0181095,21.7551,23.9184,23.2551,21.9796,22.7347,0.310415,0.393613,0.387491,0.373478,0.346236,0.409022,0.457202,0.466392,0.452217,0.43677,0.314004,0.274604,0.269142,0.256048,0.245684,0.75771,0.655095,0.633884,3.49443,3.31021,0.48495,0.549454,0.533316,0.501103,0.502665,0.553641,0.140336,0.0710932,0.0384441,0.00123044,-0.000232166,7.01728e-05,0.21941,0.325639,0.346456,0.863136,0.0,-0.395747,0.900698,-0.157133"
5313,The Scorpion King (2002),Action|Adventure|Fantasy|Thriller,"0.204589,0.331736,0.367888,0.305555,0.300067,0.545486,55.1416,0.215389,0.0148048,2.07368,14.0842,0.107368,0.436316,0.628609,17.3158,1.96214,1.35585,4.63137,4.95288,3.86152,9.57642,4.02326,6.03958,17.532,7.33684,0.295626,0.238322,62.8,162.589,0.563098,0.0,0.0,0.0269049,0.0215984,0.00846822,5.55994,5.38113,5.24413,0.0634822,0.0149041,0.00939611,-0.016965,-0.00570416,-0.0146565,-0.0164637,-0.0306313,-0.0244561,0.0877824,-0.0373257,-0.0504985,0.229406,0.354337,0.420708,0.220634,0.33673,0.328959,51.0316,0.679089,0.220509,0.0511014,0.0180717,0.00847521,22.0632,20.5158,23.3895,22.8,22.4421,0.193975,0.251509,0.273938,0.260766,0.240896,0.321844,0.394236,0.355173,0.3685,0.348003,0.376685,0.42092,0.395677,0.399156,0.385392,0.90213,0.992154,0.993084,2.74126,2.42397,0.505568,0.463508,0.53389,0.491649,0.487767,0.502261,0.147516,0.0658882,0.0203924,0.000672241,0.000334696,0.000135002,0.505915,0.244166,0.314227,0.991807,0.0,0.576194,-2.61991,117.108"
87413,Bernie (1996),Comedy|Drama,"0.24222,0.413572,0.324658,0.336524,0.268888,0.612944,54.7326,0.159943,0.0126977,2.46341,15.0,0.104472,0.473171,0.670261,16.3821,1.41568,1.5705,3.05619,3.7504,4.65861,6.19425,4.16482,6.88579,13.578,8.20325,0.266935,0.20862,60.4309,158.488,0.674391,0.0,0.0,0.0348651,0.038421,0.0149464,6.33305,6.07602,5.94219,0.0647643,0.0141033,0.00482616,-0.0166738,-0.0197368,-0.00618821,0.0118378,0.0245701,-0.00602987,0.0836937,-0.0425988,0.030378,0.268829,0.413732,0.338306,0.265806,0.31245,0.274548,112.943,0.605761,0.242015,0.07196,0.0261034,0.0116232,21.9431,23.6016,21.439,21.4472,21.8049,0.23653,0.340092,0.241405,0.23189,0.218947,0.406593,0.466813,0.486083,0.490343,0.443736,0.344915,0.226549,0.260299,0.228067,0.260923,0.851548,0.521931,0.607386,3.67348,3.3644,0.492222,0.550288,0.469068,0.504276,0.48765,0.555572,0.148828,0.0910195,0.0370737,-0.000718148,-0.00148825,0.000749515,0.282225,0.333963,0.335684,0.965396,0.0,-0.403354,-0.0724137,-0.197986"
2640,Superman (1978),Action|Adventure|Sci-Fi,"0.345676,0.235005,0.291654,0.221519,0.251286,0.530097,56.5254,0.452855,0.0210739,2.56081,12.1757,0.135135,0.410811,0.545387,16.1419,3.24183,2.25245,6.0145,5.83877,3.94682,10.37,3.67577,8.47082,18.547,6.68919,0.244486,0.0700392,71.8176,195.561,0.513344,0.0,0.0,0.0242834,0.0210166,0.00882705,5.19976,5.05291,5.15213,0.0859525,-0.00741722,0.00684362,-0.0258699,-0.044815,-0.010135,0.0124308,-0.016793,-0.00409287,0.0853789,-0.0808199,-0.0084551,0.437516,0.262026,0.474042,0.432505,0.25097,0.386014,21.75,0.752813,0.153153,0.0857474,0.00175167,0.000825315,22.0676,18.777,25.7432,20.6892,21.5811,0.40693,0.171928,0.192697,0.420731,0.411503,0.226121,0.215727,0.284397,0.336645,0.329713,0.351266,0.192049,0.132392,0.238881,0.252108,0.899003,0.480939,0.350305,5.00567,3.56081,0.499283,0.34518,0.656751,0.502185,0.503067,0.486214,0.148393,0.0691972,0.056774,0.00052932,0.000852362,0.00011616,0.827278,0.333066,0.280654,1.33808,0.0,-2.89319,0.208851,0.801085"
237,Forget Paris (1995),Comedy|Romance,"0.336819,0.220398,0.393601,0.20047,0.347057,0.443578,50.5353,0.387179,0.0220509,3.63208,13.2358,0.351415,0.495283,0.542171,14.4623,4.53229,1.09215,11.7729,11.5735,3.08753,22.4454,8.65051,5.60446,36.786,7.87736,0.34558,0.296997,74.9811,181.274,0.665418,0.0,0.0,0.0308206,0.0266435,0.0103211,6.77713,6.61425,6.57155,0.0787196,0.0139436,0.00275315,0.00863819,0.0167837,0.015686,0.0226639,0.0108279,0.0111185,0.0954164,0.0411079,0.0446103,0.298177,0.258172,0.435274,0.294386,0.208343,0.36233,71.783,0.640143,0.217669,0.0611942,0.0268006,0.0126606,22.3491,19.9057,23.1038,22.4717,22.4057,0.326437,0.360468,0.294489,0.298068,0.282704,0.222348,0.264666,0.246286,0.224537,0.233719,0.32764,0.567571,0.506972,0.456977,0.462126,0.853561,1.47628,1.33485,3.7716,3.7313,0.51659,0.441721,0.529554,0.491397,0.516548,0.471602,0.149669,0.0625413,0.0203808,-0.000243852,-0.000628204,9.61018e-05,0.394322,0.378584,0.237296,1.15584,0.0,-0.53631,-0.241897,1.3307"
