id,title
1500,Grosse Pointe Blank (1997)
367,"Mask, The (1994)"
84152,Limitless (2011)
3717,Gone in 60 Seconds (2000)
3238,Eye of the Beholder (1999)
5419,Scooby-Doo (2002)
5313,The Scorpion King (2002)
87413,Bernie (1996)
2640,Superman (1978)
237,Forget Paris (1995)
648,Mission: Impossible (1996)
786,Eraser (1996)
80363,Resident Evil: Afterlife (2010)
52604,Fracture (2007)
1043,To Gillian on Her 37th Birthday (1996)
3675,White Christmas (1954)
8827,"Bill Cosby, Himself (1983)"
2046,Flight of the Navigator (1986)
5944,Star Trek: Nemesis (2002)
81845,"King's Speech, The (2010)"
3801,Anatomy of a Murder (1959)
4239,Blow (2001)
107406,Snowpiercer (2013)
728,Cold Comfort Farm (1995)
2091,Return from Witch Mountain (1978)
1676,Starship Troopers (1997)
92509,"Vow, The (2012)"
5527,Possession (2002)
2282,Pecker (1998)
117590,Horrible Bosses 2 (2014)
3468,"Hustler, The (1961)"
2353,Enemy of the State (1998)
235,Ed Wood (1994)
1077,Sleeper (1973)
8638,Before Sunset (2004)
1214,Alien (1979)
3257,"Bodyguard, The (1992)"
1459,Absolute Power (1997)
117,"Young Poisoner's Handbook, The (1995)"
4865,From Hell (2001)
1562,Batman & Robin (1997)
5051,Italian for Beginners (Italiensk for begyndere) (2000)
474,In the Line of Fire (1993)
4069,"Wedding Planner, The (2001)"
90746,"Adventures of Tintin, The (2011)"
4144,In the Mood For Love (Fa yeung nin wa) (2000)
1729,Jackie Brown (1997)
1025,"Sword in the Stone, The (1963)"
294,"Perez Family, The (1995)"
1468,Booty Call (1997)
3719,Love's Labour's Lost (2000)
224,Don Juan DeMarco (1995)
3029,Nighthawks (1981)
4816,Zoolander (2001)
1258,"Shining, The (1980)"
3471,Close Encounters of the Third Kind (1977)
248,Houseguest (1994)
1292,Being There (1979)
90430,Carnage (2011)
4537,Running on Empty (1988)
56286,I'm Not There (2007)
1994,Poltergeist (1982)
3157,Stuart Little (1999)
1889,Insomnia (1997)
2581,Never Been Kissed (1999)
70946,Troll 2 (1990)
332,Village of the Damned (1995)
56757,Sweeney Todd: The Demon Barber of Fleet Street (2007)
2628,Star Wars: Episode I - The Phantom Menace (1999)
84944,Rango (2011)
4448,"Score, The (2001)"
2393,Star Trek: Insurrection (1998)
617,"Flower of My Secret, The (La flor de mi secreto) (1995)"
466,Hot Shots! Part Deux (1993)
2399,Santa Claus: The Movie (1985)
1224,Henry V (1989)
1244,Manhattan (1979)
2718,Drop Dead Gorgeous (1999)
667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996)
4133,Masters of the Universe (1987)
94266,"Five-Year Engagement, The (2012)"
1248,Touch of Evil (1958)
43904,When a Stranger Calls (2006)
546,Super Mario Bros. (1993)
2103,Tall Tale (1995)
339,While You Were Sleeping (1995)
102,Mr. Wrong (1996)
1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989)
2433,"Civil Action, A (1998)"
3450,Grumpy Old Men (1993)
996,Last Man Standing (1996)
4361,Tootsie (1982)
4367,Lara Croft: Tomb Raider (2001)
4823,Serendipity (2001)
86880,Pirates of the Caribbean: On Stranger Tides (2011)
